dualMeetID,meetID,homeTeamID,awayTeamID,homeTeamPoints,awayTeamPoints
CB2021_vs_HS2021_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021,HS2021,282.0,138.0
DT2021_vs_O2021_2021,Overlee(306.0)_at_Dowden_Terrace(114.0)_2021,DT2021,O2021,114.0,306.0
T2021_vs_DR2021_2021,Donaldson_Run(170.0)_at_Tuckahoe(250.0)_2021,T2021,DR2021,250.0,170.0
DR2021_vs_CB2021_2021,Chesterbrook(212.0)_at_Donaldson_Run(208.0)_2021,DR2021,CB2021,208.0,212.0
O2021_vs_HS2021_2021,Highlands_Swim(175.0)_at_Overlee(245.0)_2021,O2021,HS2021,245.0,175.0
DT2021_vs_T2021_2021,Tuckahoe(277.0)_at_Dowden_Terrace(142.0)_2021,DT2021,T2021,142.0,277.0
T2021_vs_CB2021_2021,Chesterbrook(196.5)_at_Tuckahoe(223.5)_2021,T2021,CB2021,223.5,196.5
O2021_vs_DR2021_2021,Donaldson_Run(184.0)_at_Overlee(236.0)_2021,O2021,DR2021,236.0,184.0
HS2021_vs_DT2021_2021,Dowden_Terrace(176.0)_at_Highlands_Swim(243.0)_2021,HS2021,DT2021,243.0,176.0
DT2021_vs_CB2021_2021,Chesterbrook(262.0)_at_Dowden_Terrace(157.0)_2021,DT2021,CB2021,157.0,262.0
O2021_vs_T2021_2021,Tuckahoe(214.0)_at_Overlee(206.0)_2021,O2021,T2021,206.0,214.0
HS2021_vs_DR2021_2021,Donaldson_Run(248.0)_at_Highlands_Swim(172.0)_2021,HS2021,DR2021,172.0,248.0
CB2021_vs_O2021_2021,Overlee(181.0)_at_Chesterbrook(239.0)_2021,CB2021,O2021,239.0,181.0
T2021_vs_HS2021_2021,Highlands_Swim(180.0)_at_Tuckahoe(240.0)_2021,T2021,HS2021,240.0,180.0
DR2021_vs_DT2021_2021,Dowden_Terrace(128.0)_at_Donaldson_Run(292.0)_2021,DR2021,DT2021,292.0,128.0
L2021_vs_ML2021_2021,McLean(191.0)_at_Langley(229.0)_2021,L2021,ML2021,229.0,191.0
WC2021_vs_CP2021_2021,Crosspointe(256.0)_at_Wakefield_Chapel(162.0)_2021,WC2021,CP2021,162.0,256.0
