meetEventID,meetID,eventID
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,5_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_33_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,33_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_35_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,35_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_37_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,37_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_39_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,39_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_41_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,41_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_51_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,51_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_43_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,43_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_45_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,45_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_47_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,47_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_49_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,49_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021
