participantID,meetID,teamID
Will D Taylor_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Timothy F Friend_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Aidan J Roche_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
John S Berik_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Andrew J Rose_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Kayan S Gajendragadkar_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Gabriel D Hanson_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Manuel M Maher_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Maddox S Cory_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Daniel L Galinsky_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Beau E Lochmann_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Luke U Zemek_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Pranav V Budharaju_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Lucas M Stadelmann_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Robert D Oremland_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Connor T Barlotta_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Paxton C Warin_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Tyson L Walther_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Matthew M Rose_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Curan K Palmer_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Colin P Francis_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Jacob M Owen_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Shane W Monroe_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Landon M Moore_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Tyler M Lentine_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Luke T Bernasek_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Arav Y Bhargava_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Adam J Kunz_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Jackson B Wright_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Jacob C Daniels_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Timothy F Friend_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Carter M Huey_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Brayden L Roth_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Will D Taylor_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Andrew J Rose_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Garrett K Warin_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Manuel M Maher_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Evan P Farley_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Oliver M Tolar_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Joshua J Friend_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Peter A Zemek_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Mason C Grundhoefer_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Jack M Perlish_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Paxton C Warin_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
Hiroto S Matsuki_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Charles R Erlanger_HS_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,HS2021
Jasper J Majeed-Hall_CB_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,CB2021
