resultID,meetEventID,swimmerID,time,place,points,powerIndex
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,18.71,1,5.0,525.67
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,19.19,2,3.0,487.2
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,21.43,3,1.0,349.84
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,22.06,4,0.0,320.71
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,22.43,5,0.0,305.1
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,25.76,6,0.0,201.42
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,32.07,1,5.0,768.88
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,32.13,2,3.0,764.58
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,35.94,3,1.0,546.29
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,37.01,4,0.0,500.26
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,37.15,5,0.0,494.63
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,39.33,6,0.0,416.85
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,31.38,1,5.0,580.7
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,32.39,2,3.0,528.05
