teamID,name,abbr,location
T2021,Tuckahoe,T,"1814 Great Falls Street Mc Lean, VA 22101"
CB2021,Chesterbrook,CB,"1812 Kirby Road Mc Lean, VA 22101"
O2021,Overlee,O,"6030 Lee Highway Arlington, VA 22205"
DR2021,Donaldson Run,DR,"2729 Marcey Road Arlington, VA 22207"
HS2021,Highlands Swim,HS,"1515 Bryan Branch Rd.Mc Lean, VA 22101"
DT2021,Dowden Terrace,DT,Address not found on the team's page.
L2021,Langley,L,"728 Live Oak Dr.Mc Lean, VA 22101"
CP2021,Crosspointe,CP,"8275 Glen Eagle Drive Fairfax Station, VA 22039"
ML2021,McLean,ML,"1700 Margie Drive Mc Lean, VA 22101"
HSC2021,Hamlet,HSC,"8209 Dunsinane Court Mc Lean, VA 22102"
WC2021,Wakefield Chapel,WC,"4627 Holborn Ave.Annandale, VA 22003"
MVP2021,Mount Vernon Park,MVP,"8042 Fairfax Road Alexandria, VA 22308"
FO2021,Fair Oaks,FO,"3720 Charles Stewart Drive Fairfax, VA 22033"
LRR2021,Little Rocky Run,LRR,"6201 Sandstone Way Clifton, VA 20124"
HPP2021,High Point Pool,HPP,"6840 Woodland Drive Falls Church, VA 22046"
HV2021,Hunt Valley,HV,"7100 Sydenstricker Road Springfield, VA 22153"
VW2021,Vienna Woods,VW,"109 Harmony Drive SWVienna, VA 22182"
VR2021,Virginia Run,VR,"15355 Wetherburn Court Centreville, VA 20120"
KG2021,Kent Gardens,KG,"1906 Westmoreland Road Mc Lean, VA 22101"
OAK2021,Oakton,OAK,"11714 Flemish Mill Court Oakton, VA 22124"
VAC2021,Vienna Aquatic,VAC,"625 Marshall Rd Vienna, VA 22180"
CH2021,Cardinal Hill,CH,"9117 Westerholme Way Vienna, VA 22182"
OH2021,Orange Hunt,OH,"8600 Bridlewood Drive Springfield, VA 22152"
SR2021,Sideburn Run,SR,"10603 Zion Drive Fairfax, Va 22032"
OKM2021,Old Keene Mill,OKM,"9534 Orion Ct.Burke, VA 22015"
M2021,Mantua,M,"9330 Pentland Place Fairfax, VA 22031"
HB2021,Hiddenbrook,HB,"1508 A Sadlers Wells Dr Herndon, VA 20170"
B2021,Brandywine,B,"9537 Helenwood Dr Fairfax, VA 22032"
SHR2021,Sleepy Hollow Rec,SHR,"3538 Sleepy Hollow Road Falls Church, VA 22042"
HTM2021,Hunter Mill,HTM,"10339 Brittenford Drive Vienna, VA 22182"
LG2021,Lee Graham,LG,"7319 Lee Highway Falls Church, VA 22042"
VH2021,Virginia Hills,VH,"6500 Virginia Hills Pool Dr. formerly Robinson Dr.Alexandria, VA 22310"
CCH2021,Country Club Hills,CCH,"3622 Old Post Rd Fairfax, VA 22030"
LV2021,Lakeview,LV,"5352 Gainsborough Dr Fairfax, VA 22032"
WG2021,Walden Glen,WG,"6126 Harmon Place Springfield, VA 22152"
FCE2021,Fairfax Club Estates,FCE,"5601 Snowy Owl Dr.Fairfax, Va 22032"
PC2021,Pinecrest,PC,"12515 Pinecrest Road Herndon, VA 20171"
R2021,Ravensworth Farm,R,"5210 Inverchapel Road Springfield, VA 22151"
WW2021,Waynewood,WW,"1027 Dalebrook Drive Alexandria, VA 22308"
LE2021,Lakevale Estates,LE,"2554 Oak Valley Drive Vienna, VA 22180"
SHB2021,Sleepy Hollow B & R,SHB,"3516 Sleepy Hollow Road Falls Church, VA 22044"
VA2021,Villa Aquatic,VA,"4299 Andes Drive Fairfax, VA 22030"
DL2021,Dunn Loring,DL,"8326 Cottage Street Vienna, VA 22180"
DH2021,Dominion Hills,DH,"6000 Wilson Boulevard Arlington, VA 22205"
G2021,Greenbriar,G,"13001 Point Pleasant Drive Fairfax, VA 22033"
HM2021,Hollin Meadows,HM,"2500 Woodlawn Trail Alexandria, VA 22306"
SS2021,Sully Station,SS,"5101 Sequoia Farms Drive Centreville, VA 20120"
FMW2021,Fox Mill Woods,FMW,"2634 A Black Fir Court Reston, VA 20191"
LHP2021,Little Hunting Park,LHP,"7000 Canterbury Lane Alexandria, VA 22307"
SOR2021,South Run,SOR,"9908 South Park Circle Fairfax Station, VA 22039"
FS2021,Fairfax Station,FS,"6203 Old Arrington Dr.Fairfax Station, VA 22039"
AF2021,Arlington Forest,AF,"5401 North Carlin Springs Road Arlington, VA 22203"
GF2021,Great Falls,GF,"761 Walker Road Great Falls, VA 22066"
MW2021,Mosby Woods,MW,"3136 Fair Woods Parkway (previously Plantation)Fairfax, VA 22030"
SB2021,Springboard,SB,Address not found on the team's page.
F2021,Fairfax,F,"4200 Roberts Road Fairfax, VA 22032"
RG2021,Riverside Gardens,RG,"8633 Buckboard Drive Alexandria, VA 22308"
CCC2021,Camelot,CCC,"3604 Balin Court Annandale, VA 22003"
RFD2021,Rutherford,RFD,"4609 Marley Rd.Fairfax, VA 22032"
FME2021,Fox Mill Estates,FME,"2720 Viking Drive Herndon, VA 20171"
CW2021,Canterbury Woods,CW,"5101 Southampton Dr Annandale, VA 22003"
HP2021,Highland Park,HP,"6406 Telegraph Road Alexandria, VA 22310"
PH2021,Poplar Heights,PH,"2463 Buckelew Falls Church, VA"
SRA2021,Stratford,SRA,"2300 Brintizer way Alexandria, VA 22308"
BF2021,Brookfield,BF,"13615 Pennsboro Drive Chantilly, VA 20151"
SOC2021,Somerset-Olde Creek,SOC,"9705 Laurel Street Fairfax, VA 22032"
RH2021,Rolling Hills,RH,"8301 Carrleigh Parkway Springfield, VA 22152"
RF2021,Rolling Forest,RF,"7011 Flax Street Springfield, VA 22152"
HF2021,Hayfield Farm,HF,"7820 Hayfield Road Alexandria, VA 22315"
THA2021,Truro,THA,"4146 Elizabeth Lane Annandale, VA 22003"
HRA2021,Holmes Run Acres,HRA,"3451 Gallows Road Falls Church, VA 22042"
A2021,Annandale,A,"7530 Little River Turnpike Annandale, VA 22003"
CT2021,Cottontail,CT,"7000 Cottontail Court Springfield, VA 22153"
FH2021,Forest Hollow,FH,"4330 Old Columbia Pike Annandale, VA 22003"
DV2021,Daventry,DV,"7721 Painted Daisy Drive Springfield, va 22152"
MHC2021,Mansion House,MHC,"9321 Old Mount Vernon Rd Alexandria, VA 22309"
SV2021,Shouse Village,SV,"1432 Towlston Road Vienna, VA 22182"
KR2021,Kings Ridge,KR,"4850 Gainsborough Drive Fairfax, VA 22032"
FX2021,Fox Hunt,FX,"7024 Spaniel Rd Springfield, VA 22153"
PT2021,Poplar Tree,PT,"13516 Point Pleasant Drive Chantilly, VA 20151"
RV2021,Rolling Valley,RV,"7019 Ashbury Dr Springfield, VA 22152"
W2021,Woodley,W,"7421 Camp Alger Avenue Falls Church, VA 22042"
SS22021,Sully Station II,SS2,"5501 Sully Park Drive Centreville, VA 20120"
LH2021,Laurel Hill,LH,"8380 Laurel Crest Drive Lorton, VA 22079"
PL2021,Parklawn,PL,"6011 Crater Place Alexandria, va 22312"
HH2021,Hollin Hills,HH,"1602 Paul Spring Road Alexandria, VA 22307"
LB2021,Lake Braddock,LB,"9528 Ashbourn Dr.Burke, VA 22015"
PAR2021,Parliament,PAR,"8510 Parliament Drive Springfield, VA 22151"
H2021,Herndon,H,"1114 Monroe St.Herndon, VA 20170"
IC2021,Ilda Community,IC,Address not found on the team's page.
LP2021,Lincolnia Park,LP,"6501 Montrose St Alexandria, VA 22312"
CSC2021,Commonwealth,CSC,"9800 Commonwealth Blvd Fairfax, VA 22032"
BKS2021,Burke Station,BKS,"5820 Ridge Ford Drive Burke, VA 22015"
LBR2021,Long Branch,LBR,"9100 Burnetta Drive Annandale, VA 22003"
NF2021,Newington Forest,NF,"8201 Southrun Road Springfield, VA 22153"
PV2021,Pleasant Valley,PV,"4347 Cub Run Road Chantilly, VA 20151"
V2021,Village West,V,"7008 Elkton Drive Springfield, VA 22152"
BC2021,Broyhill Crest,BC,"7212 Early Street Annandale, VA 22003"
NS2021,North Springfield,NS,Address not found on the team's page.
S2021,Springfield,S,"7400 Highland Street Springfield, VA 22150"
PW2021,Pinewood Lake,PW,"8159 Fernlake Ct.Alexandria, VA 22309"
EP2021,Edsall Park,EP,"5505 Montgomery St.Springfield, VA 22151"
CB2022,Chesterbrook,CB,"1812 Kirby Road Mc Lean, VA 22101"
T2022,Tuckahoe,T,"1814 Great Falls Street Mc Lean, VA 22101"
O2022,Overlee,O,"6030 Lee Highway Arlington, VA 22205"
DR2022,Donaldson Run,DR,"2729 Marcey Road Arlington, VA 22207"
HS2022,Highlands Swim,HS,"1515 Bryan Branch Rd.Mc Lean, VA 22101"
L2022,Langley,L,"728 Live Oak Dr.Mc Lean, VA 22101"
ML2022,McLean,ML,"1700 Margie Drive Mc Lean, VA 22101"
FO2022,Fair Oaks,FO,"3720 Charles Stewart Drive Fairfax, VA 22033"
KG2022,Kent Gardens,KG,"1906 Westmoreland Road Mc Lean, VA 22101"
CP2022,Crosspointe,CP,"8275 Glen Eagle Drive Fairfax Station, VA 22039"
LRR2022,Little Rocky Run,LRR,"6201 Sandstone Way Clifton, VA 20124"
HSC2022,Hamlet,HSC,"8209 Dunsinane Court Mc Lean, VA 22102"
OKM2022,Old Keene Mill,OKM,"9534 Orion Ct.Burke, VA 22015"
WC2022,Wakefield Chapel,WC,"4627 Holborn Ave.Annandale, VA 22003"
HV2022,Hunt Valley,HV,"7100 Sydenstricker Road Springfield, VA 22153"
HPP2022,High Point Pool,HPP,"6840 Woodland Drive Falls Church, VA 22046"
VW2022,Vienna Woods,VW,"109 Harmony Drive SWVienna, VA 22182"
DT2022,Dowden Terrace,DT,Address not found on the team's page.
CH2022,Cardinal Hill,CH,"9117 Westerholme Way Vienna, VA 22182"
OH2022,Orange Hunt,OH,"8600 Bridlewood Drive Springfield, VA 22152"
M2022,Mantua,M,"9330 Pentland Place Fairfax, VA 22031"
LG2022,Lee Graham,LG,"7319 Lee Highway Falls Church, VA 22042"
OAK2022,Oakton,OAK,"11714 Flemish Mill Court Oakton, VA 22124"
VAC2022,Vienna Aquatic,VAC,"625 Marshall Rd Vienna, VA 22180"
HB2022,Hiddenbrook,HB,"1508 A Sadlers Wells Dr Herndon, VA 20170"
LHP2022,Little Hunting Park,LHP,"7000 Canterbury Lane Alexandria, VA 22307"
MVP2022,Mount Vernon Park,MVP,"8042 Fairfax Road Alexandria, VA 22308"
