dualMeetID,meetID,homeTeamID,awayTeamID,homeTeamPoints,awayTeamPoints
HS@CB,HS@CB2021,CB,HS,282.0,138.0
O@DT,O@DT2021,DT,O,114.0,306.0
DR@T,DR@T2021,T,DR,250.0,170.0
CB@DR,CB@DR2021,DR,CB,208.0,212.0
HS@O,HS@O2021,O,HS,245.0,175.0
T@DT,T@DT2021,DT,T,142.0,277.0
CB@T,CB@T2021,T,CB,223.5,196.5
DR@O,DR@O2021,O,DR,236.0,184.0
DT@HS,DT@HS2021,HS,DT,243.0,176.0
CB@DT,CB@DT2021,DT,CB,157.0,262.0
T@O,T@O2021,O,T,206.0,214.0
DR@HS,DR@HS2021,HS,DR,172.0,248.0
O@CB,O@CB2021,CB,O,239.0,181.0
HS@T,HS@T2021,T,HS,240.0,180.0
DT@DR,DT@DR2021,DR,DT,292.0,128.0
ML@L,ML@L2021,L,ML,229.0,191.0
CP@WC,CP@WC2021,WC,CP,162.0,256.0
HSC@MVP,HSC@MVP2021,MVP,HSC,181.0,239.0
MVP@ML,MVP@ML2021,ML,MVP,280.0,140.0
WC@L,WC@L2021,L,WC,260.0,160.0
HSC@CP,HSC@CP2021,CP,HSC,229.0,191.0
ML@HSC,ML@HSC2021,HSC,ML,205.0,214.0
MVP@WC,MVP@WC2021,WC,MVP,244.0,176.0
CP@L,CP@L2021,L,CP,215.0,205.0
ML@CP,ML@CP2021,CP,ML,227.0,193.0
HSC@WC,HSC@WC2021,WC,HSC,193.0,227.0
L@MVP,L@MVP2021,MVP,L,135.0,285.0
WC@ML,WC@ML2021,ML,WC,244.0,176.0
L@HSC,L@HSC2021,HSC,L,195.0,225.0
MVP@CP,MVP@CP2021,CP,MVP,289.0,131.0
HV@VW,HV@VW2021,VW,HV,210.0,210.0
LRR@FO,LRR@FO2021,FO,LRR,227.5,192.5
VR@HPP,VR@HPP2021,HPP,VR,244.0,176.0
VR@HV,VR@HV2021,HV,VR,239.0,181.0
VW@LRR,VW@LRR2021,LRR,VW,218.0,202.0
HPP@FO,HPP@FO2021,FO,HPP,248.0,172.0
HPP@HV,HPP@HV2021,HV,HPP,203.0,217.0
FO@VW,FO@VW2021,VW,FO,172.0,248.0
LRR@VR,LRR@VR2021,VR,LRR,193.0,227.0
HV@FO,HV@FO2021,FO,HV,240.0,170.0
HPP@LRR,HPP@LRR2021,LRR,HPP,211.0,209.0
VR@VW,VR@VW2021,VW,VR,241.0,178.0
LRR@HV,LRR@HV2021,HV,LRR,197.0,223.0
