participantID,meetID,teamID
CB@HS@CB2021,HS@CB2021,CB
HS@HS@CB2021,HS@CB2021,HS
DT@O@DT2021,O@DT2021,DT
O@O@DT2021,O@DT2021,O
T@DR@T2021,DR@T2021,T
DR@DR@T2021,DR@T2021,DR
DR@CB@DR2021,CB@DR2021,DR
CB@CB@DR2021,CB@DR2021,CB
O@HS@O2021,HS@O2021,O
HS@HS@O2021,HS@O2021,HS
DT@T@DT2021,T@DT2021,DT
T@T@DT2021,T@DT2021,T
T@CB@T2021,CB@T2021,T
CB@CB@T2021,CB@T2021,CB
O@DR@O2021,DR@O2021,O
DR@DR@O2021,DR@O2021,DR
HS@DT@HS2021,DT@HS2021,HS
DT@DT@HS2021,DT@HS2021,DT
O@D1RC2021,D1RC2021,O
CB@D1RC2021,D1RC2021,CB
T@D1RC2021,D1RC2021,T
DR@D1RC2021,D1RC2021,DR
HS@D1RC2021,D1RC2021,HS
DT@D1RC2021,D1RC2021,DT
DT@CB@DT2021,CB@DT2021,DT
CB@CB@DT2021,CB@DT2021,CB
O@T@O2021,T@O2021,O
T@T@O2021,T@O2021,T
HS@DR@HS2021,DR@HS2021,HS
DR@DR@HS2021,DR@HS2021,DR
CB@O@CB2021,O@CB2021,CB
O@O@CB2021,O@CB2021,O
T@HS@T2021,HS@T2021,T
HS@HS@T2021,HS@T2021,HS
DR@DT@DR2021,DT@DR2021,DR
DT@DT@DR2021,DT@DR2021,DT
L@ML@L2021,ML@L2021,L
ML@ML@L2021,ML@L2021,ML
WC@CP@WC2021,CP@WC2021,WC
CP@CP@WC2021,CP@WC2021,CP
MVP@HSC@MVP2021,HSC@MVP2021,MVP
HSC@HSC@MVP2021,HSC@MVP2021,HSC
ML@MVP@ML2021,MVP@ML2021,ML
MVP@MVP@ML2021,MVP@ML2021,MVP
L@WC@L2021,WC@L2021,L
WC@WC@L2021,WC@L2021,WC
CP@HSC@CP2021,HSC@CP2021,CP
HSC@HSC@CP2021,HSC@CP2021,HSC
HSC@ML@HSC2021,ML@HSC2021,HSC
ML@ML@HSC2021,ML@HSC2021,ML
WC@MVP@WC2021,MVP@WC2021,WC
MVP@MVP@WC2021,MVP@WC2021,MVP
L@CP@L2021,CP@L2021,L
CP@CP@L2021,CP@L2021,CP
CP@D2RC2021,D2RC2021,CP
L@D2RC2021,D2RC2021,L
HSC@D2RC2021,D2RC2021,HSC
ML@D2RC2021,D2RC2021,ML
WC@D2RC2021,D2RC2021,WC
MVP@D2RC2021,D2RC2021,MVP
CP@ML@CP2021,ML@CP2021,CP
ML@ML@CP2021,ML@CP2021,ML
WC@HSC@WC2021,HSC@WC2021,WC
HSC@HSC@WC2021,HSC@WC2021,HSC
MVP@L@MVP2021,L@MVP2021,MVP
L@L@MVP2021,L@MVP2021,L
ML@WC@ML2021,WC@ML2021,ML
WC@WC@ML2021,WC@ML2021,WC
HSC@L@HSC2021,L@HSC2021,HSC
L@L@HSC2021,L@HSC2021,L
CP@MVP@CP2021,MVP@CP2021,CP
MVP@MVP@CP2021,MVP@CP2021,MVP
VW@HV@VW2021,HV@VW2021,VW
HV@HV@VW2021,HV@VW2021,HV
FO@LRR@FO2021,LRR@FO2021,FO
LRR@LRR@FO2021,LRR@FO2021,LRR
HPP@VR@HPP2021,VR@HPP2021,HPP
VR@VR@HPP2021,VR@HPP2021,VR
HV@VR@HV2021,VR@HV2021,HV
VR@VR@HV2021,VR@HV2021,VR
LRR@VW@LRR2021,VW@LRR2021,LRR
VW@VW@LRR2021,VW@LRR2021,VW
FO@HPP@FO2021,HPP@FO2021,FO
HPP@HPP@FO2021,HPP@FO2021,HPP
HV@HPP@HV2021,HPP@HV2021,HV
HPP@HPP@HV2021,HPP@HV2021,HPP
VW@FO@VW2021,FO@VW2021,VW
FO@FO@VW2021,FO@VW2021,FO
VR@LRR@VR2021,LRR@VR2021,VR
LRR@LRR@VR2021,LRR@VR2021,LRR
FO@D3RC2021,D3RC2021,FO
HPP@D3RC2021,D3RC2021,HPP
LRR@D3RC2021,D3RC2021,LRR
HV@D3RC2021,D3RC2021,HV
VR@D3RC2021,D3RC2021,VR
VW@D3RC2021,D3RC2021,VW
FO@HV@FO2021,HV@FO2021,FO
HV@HV@FO2021,HV@FO2021,HV
LRR@HPP@LRR2021,HPP@LRR2021,LRR
HPP@HPP@LRR2021,HPP@LRR2021,HPP
VW@VR@VW2021,VR@VW2021,VW
VR@VR@VW2021,VR@VW2021,VR
HV@LRR@HV2021,LRR@HV2021,HV
LRR@LRR@HV2021,LRR@HV2021,LRR
HPP@VW@HPP2021,VW@HPP2021,HPP
VW@VW@HPP2021,VW@HPP2021,VW
VR@FO@VR2021,FO@VR2021,VR
FO@FO@VR2021,FO@VR2021,FO
KG@VAC@KG2021,VAC@KG2021,KG
VAC@VAC@KG2021,VAC@KG2021,VAC
SR@OAK@SR2021,OAK@SR2021,SR
OAK@OAK@SR2021,OAK@SR2021,OAK
CH@OH@CH2021,OH@CH2021,CH
OH@OH@CH2021,OH@CH2021,OH
OH@VAC@OH2021,VAC@OH2021,OH
VAC@VAC@OH2021,VAC@OH2021,VAC
KG@OAK@KG2021,OAK@KG2021,KG
OAK@OAK@KG2021,OAK@KG2021,OAK
SR@CH@SR2021,CH@SR2021,SR
CH@CH@SR2021,CH@SR2021,CH
VAC@CH@VAC2021,CH@VAC2021,VAC
CH@CH@VAC2021,CH@VAC2021,CH
OAK@OH@OAK2021,OH@OAK2021,OAK
OH@OH@OAK2021,OH@OAK2021,OH
KG@SR@KG2021,SR@KG2021,KG
SR@SR@KG2021,SR@KG2021,SR
OAK@D4RC2021,D4RC2021,OAK
KG@D4RC2021,D4RC2021,KG
VAC@D4RC2021,D4RC2021,VAC
CH@D4RC2021,D4RC2021,CH
OH@D4RC2021,D4RC2021,OH
SR@D4RC2021,D4RC2021,SR
SR@VAC@SR2021,VAC@SR2021,SR
VAC@VAC@SR2021,VAC@SR2021,VAC
OAK@CH@OAK2021,CH@OAK2021,OAK
CH@CH@OAK2021,CH@OAK2021,CH
OH@KG@OH2021,KG@OH2021,OH
KG@KG@OH2021,KG@OH2021,KG
VAC@OAK@VAC2021,OAK@VAC2021,VAC
OAK@OAK@VAC2021,OAK@VAC2021,OAK
CH@KG@CH2021,KG@CH2021,CH
KG@KG@CH2021,KG@CH2021,KG
OH@SR@OH2021,SR@OH2021,OH
SR@SR@OH2021,SR@OH2021,SR
HTM@SHR@HTM2021,SHR@HTM2021,HTM
SHR@SHR@HTM2021,SHR@HTM2021,SHR
OKM@HB@OKM2021,HB@OKM2021,OKM
HB@HB@OKM2021,HB@OKM2021,HB
B@M@B2021,M@B2021,B
M@M@B2021,M@B2021,M
B@HTM@B2021,HTM@B2021,B
HTM@HTM@B2021,HTM@B2021,HTM
SHR@HB@SHR2021,HB@SHR2021,SHR
HB@HB@SHR2021,HB@SHR2021,HB
M@OKM@M2021,OKM@M2021,M
OKM@OKM@M2021,OKM@M2021,OKM
HTM@M@HTM2021,M@HTM2021,HTM
M@M@HTM2021,M@HTM2021,M
HB@B@HB2021,B@HB2021,HB
B@B@HB2021,B@HB2021,B
OKM@SHR@OKM2021,SHR@OKM2021,OKM
SHR@SHR@OKM2021,SHR@OKM2021,SHR
OKM@D5RC2021,D5RC2021,OKM
M@D5RC2021,D5RC2021,M
B@D5RC2021,D5RC2021,B
SHR@D5RC2021,D5RC2021,SHR
HB@D5RC2021,D5RC2021,HB
HTM@D5RC2021,D5RC2021,HTM
OKM@HTM@OKM2021,HTM@OKM2021,OKM
HTM@HTM@OKM2021,HTM@OKM2021,HTM
HB@M@HB2021,M@HB2021,HB
M@M@HB2021,M@HB2021,M
SHR@B@SHR2021,B@SHR2021,SHR
B@B@SHR2021,B@SHR2021,B
HB@HTM@HB2021,HTM@HB2021,HB
HTM@HTM@HB2021,HTM@HB2021,HTM
M@SHR@M2021,SHR@M2021,M
SHR@SHR@M2021,SHR@M2021,SHR
B@OKM@B2021,OKM@B2021,B
OKM@OKM@B2021,OKM@B2021,OKM
LV@LG@LV2021,LG@LV2021,LV
LG@LG@LV2021,LG@LV2021,LG
VH@WG@VH2021,WG@VH2021,VH
WG@WG@VH2021,WG@VH2021,WG
CCH@FCE@CCH2021,FCE@CCH2021,CCH
FCE@FCE@CCH2021,FCE@CCH2021,FCE
LG@FCE@LG2021,FCE@LG2021,LG
FCE@FCE@LG2021,FCE@LG2021,FCE
WG@LV@WG2021,LV@WG2021,WG
LV@LV@WG2021,LV@WG2021,LV
VH@CCH@VH2021,CCH@VH2021,VH
CCH@CCH@VH2021,CCH@VH2021,CCH
LG@CCH@LG2021,CCH@LG2021,LG
CCH@CCH@LG2021,CCH@LG2021,CCH
FCE@WG@FCE2021,WG@FCE2021,FCE
WG@WG@FCE2021,WG@FCE2021,WG
VH@LV@VH2021,LV@VH2021,VH
LV@LV@VH2021,LV@VH2021,LV
LG@D6RC2021,D6RC2021,LG
LV@D6RC2021,D6RC2021,LV
VH@D6RC2021,D6RC2021,VH
CCH@D6RC2021,D6RC2021,CCH
FCE@D6RC2021,D6RC2021,FCE
WG@D6RC2021,D6RC2021,WG
LG@VH@LG2021,VH@LG2021,LG
VH@VH@LG2021,VH@LG2021,VH
CCH@WG@CCH2021,WG@CCH2021,CCH
WG@WG@CCH2021,WG@CCH2021,WG
LV@FCE@LV2021,FCE@LV2021,LV
FCE@FCE@LV2021,FCE@LV2021,FCE
WG@LG@WG2021,LG@WG2021,WG
LG@LG@WG2021,LG@WG2021,LG
CCH@LV@CCH2021,LV@CCH2021,CCH
LV@LV@CCH2021,LV@CCH2021,LV
FCE@VH@FCE2021,VH@FCE2021,FCE
VH@VH@FCE2021,VH@FCE2021,VH
R@LE@R2021,LE@R2021,R
LE@LE@R2021,LE@R2021,LE
SHB@UNKNOWN,UNKNOWN,SHB
PC@UNKNOWN,UNKNOWN,PC
WW@VA@WW2021,VA@WW2021,WW
VA@VA@WW2021,VA@WW2021,VA
WW@R@WW2021,R@WW2021,WW
R@R@WW2021,R@WW2021,R
LE@PC@LE2021,PC@LE2021,LE
PC@PC@LE2021,PC@LE2021,PC
VA@UNKNOWN,UNKNOWN,VA
SHB@UNKNOWN,UNKNOWN,SHB
R@VA@R2021,VA@R2021,R
VA@VA@R2021,VA@R2021,VA
PC@WW@PC2021,WW@PC2021,PC
WW@WW@PC2021,WW@PC2021,WW
LE@UNKNOWN,UNKNOWN,LE
SHB@UNKNOWN,UNKNOWN,SHB
PC@D7RC2021,D7RC2021,PC
VA@D7RC2021,D7RC2021,VA
R@D7RC2021,D7RC2021,R
SHB@D7RC2021,D7RC2021,SHB
WW@D7RC2021,D7RC2021,WW
LE@D7RC2021,D7RC2021,LE
R@UNKNOWN,UNKNOWN,R
SHB@UNKNOWN,UNKNOWN,SHB
VA@PC@VA2021,PC@VA2021,VA
PC@PC@VA2021,PC@VA2021,PC
WW@LE@WW2021,LE@WW2021,WW
LE@LE@WW2021,LE@WW2021,LE
PC@R@PC2021,R@PC2021,PC
R@R@PC2021,R@PC2021,R
LE@VA@LE2021,VA@LE2021,LE
VA@VA@LE2021,VA@LE2021,VA
SHB@UNKNOWN,UNKNOWN,SHB
WW@UNKNOWN,UNKNOWN,WW
G@FMW@G2021,FMW@G2021,G
FMW@FMW@G2021,FMW@G2021,FMW
DL@SS@DL2021,SS@DL2021,DL
SS@SS@DL2021,SS@DL2021,SS
DH@HM@DH2021,HM@DH2021,DH
HM@HM@DH2021,HM@DH2021,HM
HM@G@HM2021,G@HM2021,HM
G@G@HM2021,G@HM2021,G
FMW@DL@FMW2021,DL@FMW2021,FMW
DL@DL@FMW2021,DL@FMW2021,DL
SS@DH@SS2021,DH@SS2021,SS
DH@DH@SS2021,DH@SS2021,DH
