seasonID,teamID,year,division,meetsWon,meetsLost,meetsTied,powerRanking,dmPoints,drPoints,dPoints,arPoints,aPoints,tPoints,gtPoints
T2021,T,2021,1,5,0,0,2.46,1204.5,170.0,1620,0.0,882,1374.5,3876.5
CB2021,CB,2021,1,4,1,0,3.46,1191.5,180.0,1572,0.0,556,1371.5,3499.5
O2021,O,2021,1,3,2,0,4.45,1174.0,202.0,1570,0.0,520,1376.0,3466.0
DR2021,DR,2021,1,2,3,0,5.65,1102.0,170.0,1252,0.0,808,1272.0,3332.0
HS2021,HS,2021,1,1,4,0,7.27,908.0,124.0,1328,0.0,474,1032.0,2834.0
DT2021,DT,2021,1,0,5,0,9.15,717.0,96.0,896,0.0,302,813.0,2011.0
L2021,L,2021,2,5,0,0,4.85,1214.0,178.0,1546,0.0,334,1392.0,3272.0
CP2021,CP,2021,2,4,1,0,5.84,1206.0,190.0,1458,0.0,408,1396.0,3262.0
ML2021,ML,2021,2,3,2,0,7.31,1122.0,150.0,1408,0.0,364,1272.0,3044.0
HSC2021,HSC,2021,2,2,3,0,8.48,1057.0,176.0,1306,0.0,380,1233.0,2919.0
WC2021,WC,2021,2,1,4,0,10.3,935.0,136.0,1304,0.0,330,1071.0,2705.0
MVP2021,MVP,2021,2,0,5,0,12.68,763.0,116.0,1222,0.0,128,879.0,2229.0
FO2021,FO,2021,3,5,0,0,7.11,1225.5,198.0,1618,0.0,804,1423.5,3845.5
LRR2021,LRR,2021,3,4,1,0,9.16,1071.5,170.0,1416,0.0,382,1241.5,3039.5
HPP2021,HPP,2021,3,3,2,0,10.03,1083.0,178.0,1392,0.0,316,1261.0,2969.0
HV2021,HV,2021,3,1,3,1,11.68,1019.0,148.0,1370,0.0,306,1167.0,2843.0
VW2021,VW,2021,3,1,3,1,11.96,1004.0,126.0,1222,0.0,232,1130.0,2584.0
VR2021,VR,2021,3,0,5,0,14.95,886.0,132.0,1216,0.0,252,1018.0,2486.0
KG2021,KG,2021,4,5,0,0,10.04,1181.0,164.0,1426,0.0,462,1345.0,3233.0
OAK2021,OAK,2021,4,4,1,0,10.31,1218.5,232.0,1484,0.0,430,1450.5,3364.5
VAC2021,VAC,2021,4,3,2,0,12.83,1084.5,162.0,1354,0.0,284,1246.5,2884.5
CH2021,CH,2021,4,2,3,0,13.77,1094.0,160.0,1450,0.0,308,1254.0,3012.0
OH2021,OH,2021,4,1,4,0,15.66,1012.0,146.0,1520,0.0,170,1158.0,2848.0
SR2021,SR,2021,4,0,5,0,22.61,675.0,92.0,984,0.0,198,767.0,1949.0
OKM2021,OKM,2021,5,5,0,0,10.9,1319.0,230.0,1778,0.0,442,1549.0,3769.0
M2021,M,2021,5,3,2,0,14.89,1110.0,200.0,1636,0.0,330,1310.0,3276.0
HB2021,HB,2021,5,3,2,0,16.14,1060.0,134.0,1352,0.0,176,1194.0,2722.0
B2021,B,2021,5,2,3,0,17.24,1041.0,144.0,1162,0.0,332,1185.0,2679.0
SHR2021,SHR,2021,5,2,3,0,18.14,977.0,138.0,1190,0.0,306,1115.0,2611.0
HTM2021,HTM,2021,5,0,5,0,24.1,774.0,110.0,1112,0.0,182,884.0,2178.0
LG2021,LG,2021,6,5,0,0,14.32,1204.5,210.0,1550,0.0,130,1414.5,3094.5
VH2021,VH,2021,6,4,1,0,15.8,1200.5,168.0,1508,0.0,92,1368.5,2968.5
CCH2021,CCH,2021,6,3,2,0,19.68,980.0,166.0,1416,0.0,166,1146.0,2728.0
LV2021,LV,2021,6,2,3,0,19.6,1052.5,168.0,1370,0.0,266,1220.5,2856.5
WG2021,WG,2021,6,1,4,0,24.51,869.5,118.0,1112,0.0,72,987.5,2171.5
FCE2021,FCE,2021,6,0,5,0,24.27,925.0,126.0,1234,0.0,124,1051.0,2409.0
PC2021,PC,2021,7,5,0,0,17.64,1147.5,192.0,1538,0.0,116,1339.5,2993.5
R2021,R,2021,7,3,2,0,21.31,1062.0,162.0,1412,0.0,68,1224.0,2704.0
WW2021,WW,2021,7,3,2,0,21.36,1097.5,123.0,1556,0.0,214,1220.5,2990.5
LE2021,LE,2021,7,3,2,0,21.98,1059.5,123.0,1160,0.0,200,1182.5,2542.5
SHB2021,SHB,2021,7,1,4,0,24.1,1017.5,158.0,1336,0.0,142,1175.5,2653.5
VA2021,VA,2021,7,0,5,0,27.44,889.0,164.0,1234,0.0,28,1053.0,2315.0
DL2021,DL,2021,8,5,0,0,18.73,1250.0,192.0,1504,0.0,44,1442.0,2990.0
DH2021,DH,2021,8,4,1,0,20.4,1204.5,188.0,1608,0.0,96,1392.5,3096.5
G2021,G,2021,8,3,2,0,23.75,1058.0,184.0,1542,0.0,104,1242.0,2888.0
HM2021,HM,2021,8,2,3,0,27.09,959.0,162.0,1214,0.0,104,1121.0,2439.0
SS2021,SS,2021,8,1,4,0,26.27,1060.5,152.0,1310,0.0,226,1212.5,2748.5
FMW2021,FMW,2021,8,0,5,0,39.32,709.0,78.0,1040,0.0,42,787.0,1869.0
LHP2021,LHP,2021,9,5,0,0,21.7,1236.0,164.0,1460,0.0,124,1400.0,2984.0
SOR2021,SOR,2021,9,4,1,0,24.37,1122.0,178.0,1522,0.0,228,1300.0,3050.0
FS2021,FS,2021,9,3,2,0,24.52,1175.0,174.0,1438,0.0,222,1349.0,3009.0
AF2021,AF,2021,9,1,4,0,30.24,1014.0,144.0,1432,0.0,78,1158.0,2668.0
GF2021,GF,2021,9,1,4,0,31.77,930.0,164.0,1236,0.0,96,1094.0,2426.0
MW2021,MW,2021,9,1,4,0,37.21,803.0,112.0,1160,0.0,78,915.0,2153.0
SB2021,SB,2021,10,5,0,0,23.57,1246.5,186.0,1714,0.0,126,1432.5,3272.5
F2021,F,2021,10,4,1,0,26.69,1144.0,170.0,1574,0.0,252,1314.0,3140.0
