teamID,teamName,location
T,Tuckahoe,"1814 Great Falls Street Mc Lean, VA 22101"
CB,Chesterbrook,"1812 Kirby Road Mc Lean, VA 22101"
O,Overlee,"6030 Lee Highway Arlington, VA 22205"
DR,Donaldson Run,"2729 Marcey Road Arlington, VA 22207"
HS,Highlands Swim,"1515 Bryan Branch Rd.Mc Lean, VA 22101"
DT,Dowden Terrace,Address not found on the team's page.
L,Langley,"728 Live Oak Dr.Mc Lean, VA 22101"
CP,Crosspointe,"8275 Glen Eagle Drive Fairfax Station, VA 22039"
ML,McLean,"1700 Margie Drive Mc Lean, VA 22101"
HSC,Hamlet,"8209 Dunsinane Court Mc Lean, VA 22102"
WC,Wakefield Chapel,"4627 Holborn Ave.Annandale, VA 22003"
MVP,Mount Vernon Park,"8042 Fairfax Road Alexandria, VA 22308"
FO,Fair Oaks,"3720 Charles Stewart Drive Fairfax, VA 22033"
LRR,Little Rocky Run,"6201 Sandstone Way Clifton, VA 20124"
HPP,High Point Pool,"6840 Woodland Drive Falls Church, VA 22046"
HV,Hunt Valley,"7100 Sydenstricker Road Springfield, VA 22153"
VW,Vienna Woods,"109 Harmony Drive SWVienna, VA 22182"
VR,Virginia Run,"15355 Wetherburn Court Centreville, VA 20120"
KG,Kent Gardens,"1906 Westmoreland Road Mc Lean, VA 22101"
OAK,Oakton,"11714 Flemish Mill Court Oakton, VA 22124"
VAC,Vienna Aquatic,"625 Marshall Rd Vienna, VA 22180"
CH,Cardinal Hill,"9117 Westerholme Way Vienna, VA 22182"
OH,Orange Hunt,"8600 Bridlewood Drive Springfield, VA 22152"
SR,Sideburn Run,"10603 Zion Drive Fairfax, Va 22032"
OKM,Old Keene Mill,"9534 Orion Ct.Burke, VA 22015"
M,Mantua,"9330 Pentland Place Fairfax, VA 22031"
HB,Hiddenbrook,"1508 A Sadlers Wells Dr Herndon, VA 20170"
B,Brandywine,"9537 Helenwood Dr Fairfax, VA 22032"
SHR,Sleepy Hollow Rec,"3538 Sleepy Hollow Road Falls Church, VA 22042"
HTM,Hunter Mill,"10339 Brittenford Drive Vienna, VA 22182"
LG,Lee Graham,"7319 Lee Highway Falls Church, VA 22042"
VH,Virginia Hills,"6500 Virginia Hills Pool Dr. formerly Robinson Dr.Alexandria, VA 22310"
CCH,Country Club Hills,"3622 Old Post Rd Fairfax, VA 22030"
LV,Lakeview,"5352 Gainsborough Dr Fairfax, VA 22032"
WG,Walden Glen,"6126 Harmon Place Springfield, VA 22152"
FCE,Fairfax Club Estates,"5601 Snowy Owl Dr.Fairfax, Va 22032"
PC,Pinecrest,"12515 Pinecrest Road Herndon, VA 20171"
R,Ravensworth Farm,"5210 Inverchapel Road Springfield, VA 22151"
WW,Waynewood,"1027 Dalebrook Drive Alexandria, VA 22308"
LE,Lakevale Estates,"2554 Oak Valley Drive Vienna, VA 22180"
SHB,Sleepy Hollow B & R,"3516 Sleepy Hollow Road Falls Church, VA 22044"
VA,Villa Aquatic,"4299 Andes Drive Fairfax, VA 22030"
DL,Dunn Loring,"8326 Cottage Street Vienna, VA 22180"
DH,Dominion Hills,"6000 Wilson Boulevard Arlington, VA 22205"
G,Greenbriar,"13001 Point Pleasant Drive Fairfax, VA 22033"
HM,Hollin Meadows,"2500 Woodlawn Trail Alexandria, VA 22306"
SS,Sully Station,"5101 Sequoia Farms Drive Centreville, VA 20120"
FMW,Fox Mill Woods,"2634 A Black Fir Court Reston, VA 20191"
LHP,Little Hunting Park,"7000 Canterbury Lane Alexandria, VA 22307"
SOR,South Run,"9908 South Park Circle Fairfax Station, VA 22039"
FS,Fairfax Station,"6203 Old Arrington Dr.Fairfax Station, VA 22039"
AF,Arlington Forest,"5401 North Carlin Springs Road Arlington, VA 22203"
GF,Great Falls,"761 Walker Road Great Falls, VA 22066"
MW,Mosby Woods,"3136 Fair Woods Parkway (previously Plantation)Fairfax, VA 22030"
SB,Springboard,Address not found on the team's page.
F,Fairfax,"4200 Roberts Road Fairfax, VA 22032"
RG,Riverside Gardens,"8633 Buckboard Drive Alexandria, VA 22308"
CCC,Camelot,"3604 Balin Court Annandale, VA 22003"
RFD,Rutherford,"4609 Marley Rd.Fairfax, VA 22032"
FME,Fox Mill Estates,"2720 Viking Drive Herndon, VA 20171"
CW,Canterbury Woods,"5101 Southampton Dr Annandale, VA 22003"
HP,Highland Park,"6406 Telegraph Road Alexandria, VA 22310"
PH,Poplar Heights,"2463 Buckelew Falls Church, VA"
SRA,Stratford,"2300 Brintizer way Alexandria, VA 22308"
BF,Brookfield,"13615 Pennsboro Drive Chantilly, VA 20151"
SOC,Somerset-Olde Creek,"9705 Laurel Street Fairfax, VA 22032"
RH,Rolling Hills,"8301 Carrleigh Parkway Springfield, VA 22152"
RF,Rolling Forest,"7011 Flax Street Springfield, VA 22152"
HF,Hayfield Farm,"7820 Hayfield Road Alexandria, VA 22315"
THA,Truro,"4146 Elizabeth Lane Annandale, VA 22003"
HRA,Holmes Run Acres,"3451 Gallows Road Falls Church, VA 22042"
A,Annandale,"7530 Little River Turnpike Annandale, VA 22003"
CT,Cottontail,"7000 Cottontail Court Springfield, VA 22153"
FH,Forest Hollow,"4330 Old Columbia Pike Annandale, VA 22003"
DV,Daventry,"7721 Painted Daisy Drive Springfield, va 22152"
MHC,Mansion House,"9321 Old Mount Vernon Rd Alexandria, VA 22309"
SV,Shouse Village,"1432 Towlston Road Vienna, VA 22182"
KR,Kings Ridge,"4850 Gainsborough Drive Fairfax, VA 22032"
FX,Fox Hunt,"7024 Spaniel Rd Springfield, VA 22153"
PT,Poplar Tree,"13516 Point Pleasant Drive Chantilly, VA 20151"
RV,Rolling Valley,"7019 Ashbury Dr Springfield, VA 22152"
W,Woodley,"7421 Camp Alger Avenue Falls Church, VA 22042"
SS2,Sully Station II,"5501 Sully Park Drive Centreville, VA 20120"
LH,Laurel Hill,"8380 Laurel Crest Drive Lorton, VA 22079"
PL,Parklawn,"6011 Crater Place Alexandria, va 22312"
HH,Hollin Hills,"1602 Paul Spring Road Alexandria, VA 22307"
LB,Lake Braddock,"9528 Ashbourn Dr.Burke, VA 22015"
PAR,Parliament,"8510 Parliament Drive Springfield, VA 22151"
H,Herndon,"1114 Monroe St.Herndon, VA 20170"
IC,Ilda Community,Address not found on the team's page.
LP,Lincolnia Park,"6501 Montrose St Alexandria, VA 22312"
CSC,Commonwealth,"9800 Commonwealth Blvd Fairfax, VA 22032"
BKS,Burke Station,"5820 Ridge Ford Drive Burke, VA 22015"
LBR,Long Branch,"9100 Burnetta Drive Annandale, VA 22003"
NF,Newington Forest,"8201 Southrun Road Springfield, VA 22153"
PV,Pleasant Valley,"4347 Cub Run Road Chantilly, VA 20151"
V,Village West,"7008 Elkton Drive Springfield, VA 22152"
BC,Broyhill Crest,"7212 Early Street Annandale, VA 22003"
NS,North Springfield,Address not found on the team's page.
S,Springfield,"7400 Highland Street Springfield, VA 22150"
PW,Pinewood Lake,"8159 Fernlake Ct.Alexandria, VA 22309"
EP,Edsall Park,"5505 Montgomery St.Springfield, VA 22151"
